Rk,Pick,YR,HT,PLAYER,TEAM,CONF,G,ROLE,MIN_PCT,PRPG,D_PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A_TO,BLK,STL,FTR,FC40,DUNKS_MADE_ATT,DUNKS_PCT,CLOSE_2_MADE_ATT,CLOSE_2_PCT,FAR_2_MADE_ATT,FAR_2_PCT,FT_MADE_ATT,FT_PCT,2P_MADE_ATT,2P_PCT,3PR,3P_PER_100,3P_MADE_ATT,3P_PCT
1,-,Fr,6-9,Cameron Boozer,Duke,ACC,38,Stretch 4,83.6,7.6,5.6,17.1,12.0,5.1,131.4,85.7,30.6,60.7,65.3,12.5,22.1,25.6,14.7,1.6,2.2,2.5,53.6,2.0,41-43,.953,214-332,.645,22-52,.423,221-280,.789,236-384,.615,26.4,6.5,54-138,.391
2,-,Sr,6-2,Bruce Thornton,Ohio St.,B10,34,Combo G,90.3,7.2,4.2,11.6,8.9,2.7,136.3,100.9,23.2,62.6,66.5,3.3,13.5,21.9,9.2,3.0,0.8,1.9,39.7,2.0,0-0,.000,74-98,.755,101-175,.577,141-170,.829,175-273,.641,36.2,7.5,62-155,.400
3,-,Fr,6-3,Darius Acuff Jr.,Arkansas,SEC,36,Scoring PG,84.3,6.7,3.5,8.9,8.9,0.0,125.9,105.7,29.5,56.1,60.4,1.6,8.3,32.2,11.6,3.0,0.9,1.3,37.0,1.9,7-10,.700,126-211,.597,71-177,.401,178-220,.809,197-388,.508,34.8,9.0,91-207,.440
4,-,Fr,6-9,AJ Dybantsa,BYU,B12,35,Wing F,86.6,6.6,4.0,10.1,9.0,1.1,118.6,100.8,33.5,55.0,60.0,4.7,16.9,22.1,15.0,1.2,1.1,1.7,49.0,1.4,43-48,.896,133-184,.723,126-272,.463,229-296,.774,259-456,.568,24.5,6.9,49-148,.331
5,-,Fr,6-6,Keaton Wagler,Illinois,B10,37,Combo G,83.7,6.5,4.2,11.0,8.2,2.8,130.2,97.9,25.7,54.1,59.6,6.7,10.0,23.2,12.5,2.4,1.3,1.7,47.6,2.3,0-1,.000,84-146,.575,31-89,.348,172-216,.796,115-235,.489,48.2,10.7,87-219,.397
6,-,Fr,6-2,Ebuka Okorie,Stanford,ACC,31,Scoring PG,82.2,6.3,3.7,9.6,8.0,1.6,122.6,104.0,30.1,52.8,58.9,2.4,10.3,23.9,10.4,1.9,1.0,2.7,44.9,1.6,8-8,1.000,135-240,.563,36-85,.424,188-226,.832,171-325,.526,35.4,9.7,63-178,.354
7,-,Sr,6-4,Bennett Stirtz,Iowa,B10,37,Scoring PG,94.0,6.2,4.4,9.1,7.2,1.9,123.3,100.6,26.1,56.5,60.7,1.0,8.7,24.9,11.9,2.4,0.9,2.3,31.4,2.1,11-12,.917,98-139,.705,61-130,.469,140-165,.848,159-269,.591,48.9,11.7,92-257,.358
8,-,So,6-3,Christian Anderson,Texas Tech,B12,33,Pure PG,92.7,6.1,4.5,8.3,6.7,1.6,123.1,100.6,25.2,59.7,62.6,1.8,8.5,35.2,20.2,2.2,0.7,2.2,27.3,2.1,8-10,.800,55-76,.724,41-96,.427,95-118,.805,96-172,.558,60.2,12.1,108-260,.415
9,-,Sr,6-7,Nick Martinelli,Northwestern,B10,33,Wing F,86.1,6.0,3.8,7.3,7.3,0.1,120.9,103.5,29.4,55.2,60.2,7.8,13.5,13.2,8.4,1.4,1.2,1.4,41.8,2.6,7-7,1.000,104-166,.627,119-252,.472,178-220,.809,223-418,.533,20.5,5.7,45-108,.417
10,-,So,6-4,Labaron Philon,Alabama,SEC,33,Scoring PG,72.3,6.0,3.3,10.3,9.1,1.2,124.3,103.2,29.9,58.5,62.6,1.9,9.2,31.9,14.8,2.0,0.5,2.0,40.8,2.0,5-5,1.000,113-172,.657,49-110,.445,158-198,.798,162-282,.574,41.9,10.7,81-203,.399
11,-,Jr,6-2,Jeremy Fears Jr.,Michigan St.,B10,35,Pure PG,80.5,5.9,4.3,10.2,6.8,3.4,127.0,96.0,27.1,47.9,57.6,1.6,7.0,53.0,16.5,3.9,0.1,2.4,57.1,2.9,1-1,1.000,59-102,.578,63-153,.412,184-208,.885,122-255,.478,29.9,5.7,35-109,.321
12,-,Sr,6-9,Yaxel Lendeborg,Michigan,B10,40,Stretch 4,75.1,5.8,5.0,15.1,9.2,5.9,137.5,86.8,20.5,60.2,64.7,8.0,16.0,18.0,9.5,3.1,4.4,2.1,42.5,2.3,29-30,.967,113-155,.729,20-53,.377,136-165,.824,133-208,.639,46.4,8.4,67-180,.372
13,-,So,6-0,Tyler Tanner,Vanderbilt,SEC,36,Scoring PG,83.1,5.8,4.3,11.4,7.4,4.0,125.9,96.9,26.3,54.9,61.2,1.5,10.8,28.9,12.2,2.7,1.1,4.1,46.4,2.4,17-18,.944,125-194,.644,43-113,.381,186-218,.853,168-307,.547,34.7,7.7,60-163,.368
14,-,Sr,6-3,Nick Boyd,Wisconsin,B10,35,Scoring PG,78.7,5.8,3.4,8.5,7.2,1.3,122.4,103.2,30.1,53.8,58.8,2.8,10.9,28.8,10.2,2.5,0.1,1.9,37.0,2.4,0-0,.000,140-248,.565,51-110,.464,161-194,.830,191-358,.534,31.8,8.7,61-167,.365
15,-,Sr,6-0,Boopie Miller,SMU,ACC,33,Pure PG,85.1,5.6,3.5,6.4,5.6,0.8,124.2,105.4,25.8,54.3,60.6,1.8,10.0,30.6,16.0,2.5,0.2,2.3,43.5,2.8,0-0,.000,61-108,.565,72-160,.450,162-187,.866,133-268,.496,37.7,7.9,67-162,.414
16,-,Fr,6-11,Hannes Steinbach,Washington,B10,30,PF/C,77.9,5.6,4.7,9.0,7.0,1.9,125.9,95.2,24.4,60.2,63.6,14.3,25.0,9.1,13.7,0.8,3.9,1.8,43.6,2.7,29-30,.967,144-204,.706,47-105,.448,120-158,.759,191-309,.618,14.6,3.0,18-53,.340
17,-,Jr,6-0,Colby Garland,San Jose St.,MWC,28,Scoring PG,77.2,5.3,2.1,4.4,5.5,-1.1,118.4,117.2,29.5,52.5,58.0,1.9,10.1,31.9,12.5,2.2,0.1,2.0,36.1,2.1,0-0,.000,46-80,.575,124-249,.498,130-152,.855,170-329,.517,21.9,5.6,34-92,.370
18,-,Sr,6-7,Cade Tyson,Minnesota,B10,32,Wing G,88.0,5.3,3.9,6.0,5.5,0.5,124.0,103.7,24.3,59.3,65.0,5.1,13.6,13.5,11.4,1.3,0.7,1.3,55.8,2.7,10-11,.909,83-108,.769,37-102,.363,175-213,.822,120-210,.571,45.0,9.3,71-172,.413
19,-,Sr,6-0,Braden Smith,Purdue,B10,39,Pure PG,85.9,5.3,4.3,8.8,6.4,2.4,119.7,98.6,26.5,51.1,55.1,2.4,10.3,43.0,19.5,3.1,0.7,3.0,26.8,1.8,0-0,.000,49-81,.605,84-190,.442,99-120,.825,133-271,.491,39.5,8.1,64-177,.362
20,-,Sr,6-5,Donovan Atwell,Texas Tech,B12,34,Combo G,86.3,5.3,3.9,8.1,5.7,2.5,142.0,101.4,13.1,67.0,68.3,2.5,7.9,3.9,5.3,1.9,0.4,2.0,14.0,2.7,0-0,.000,3-7,.429,13-24,.542,37-44,.841,16-31,.516,90.2,14.2,130-284,.458
21,-,Fr,6-10,Caleb Wilson,North Carolina,ACC,24,PF/C,56.7,5.3,4.6,12.7,8.2,4.6,123.1,92.2,28.8,59.0,62.6,10.5,22.2,18.1,12.6,1.4,4.4,2.8,61.6,2.4,67-77,.870,115-159,.723,48-108,.444,129-181,.713,163-267,.610,9.2,2.1,7-27,.259
22,-,Sr,6-7,Keyshawn Hall,Auburn,SEC,36,Wing F,78.9,5.3,3.4,6.3,6.2,0.2,120.7,104.7,26.5,52.2,60.6,6.0,18.9,15.0,16.3,1.0,2.2,1.2,59.6,2.8,13-13,1.000,108-202,.535,29-75,.387,228-266,.857,137-277,.495,37.9,8.1,64-169,.379
23,-,Jr,6-9,JT Toppin,Texas Tech,B12,25,PF/C,63.8,5.3,5.0,8.5,5.7,2.8,114.8,93.0,30.6,56.7,57.1,14.0,21.0,13.8,13.7,0.9,5.1,2.3,25.1,3.3,16-17,.941,125-177,.706,93-193,.482,62-107,.579,218-370,.589,13.3,3.9,16-57,.281
24,-,Sr,6-5,Richie Saunders,BYU,B12,25,Wing G,55.8,5.2,3.7,9.0,7.1,1.8,127.9,100.0,23.8,59.3,63.2,6.7,13.5,12.2,12.4,1.3,1.0,3.1,35.7,2.8,6-8,.750,68-98,.694,17-37,.459,89-109,.817,85-135,.630,55.7,12.3,64-170,.376
25,-,Jr,6-3,Dior Johnson,Tarleton St.,WAC,19,Combo G,43.6,5.2,2.1,9.5,9.4,0.1,122.7,110.4,36.5,57.1,64.3,3.3,12.2,18.6,12.9,0.7,0.5,2.5,61.3,3.6,0-0,.000,60-106,.566,53-113,.469,140-165,.848,113-219,.516,18.6,5.7,27-50,.540
26,-,Jr,6-1,Aden Holloway,Alabama,SEC,28,Scoring PG,56.4,5.1,2.9,7.8,7.4,0.4,130.9,104.9,23.1,59.9,64.3,1.1,8.3,24.0,12.1,2.6,0.0,1.2,35.0,2.5,0-0,.000,50-91,.549,27-54,.500,95-110,.864,77-145,.531,53.8,11.5,74-169,.438
27,-,Jr,6-8,Milan Momcilovic,Iowa St.,B12,37,Wing F,76.2,5.1,4.2,10.2,7.8,2.4,136.9,95.0,18.1,67.2,69.3,0.8,11.5,6.1,8.8,1.2,1.0,1.6,20.0,2.1,1-1,1.000,27-34,.794,45-98,.459,72-82,.878,72-132,.545,67.9,14.4,136-279,.487
28,-,So,6-1,Robert Wright III,BYU,B12,35,Scoring PG,86.7,5.1,3.7,5.2,4.9,0.4,118.6,104.0,25.2,52.6,56.8,2.9,8.1,24.2,14.4,2.1,0.1,2.0,29.7,1.9,0-0,.000,99-175,.566,72-174,.414,119-145,.821,171-349,.490,28.5,6.5,57-139,.410
29,-,Jr,6-7,Pryce Sandfort,Nebraska,B10,35,Wing G,83.3,5.1,4.8,10.5,7.4,3.0,128.7,92.9,21.0,62.1,64.4,2.3,14.2,12.1,5.9,2.9,1.1,1.8,18.3,2.0,3-4,.750,68-93,.731,20-50,.400,71-83,.855,88-143,.615,68.4,15.9,129-310,.416
30,-,Sr,6-11,Oscar Cluff,Purdue,B10,39,C,61.6,5.0,3.2,10.0,7.0,3.0,143.5,96.8,19.2,68.3,69.4,17.5,20.5,12.5,10.3,2.2,4.7,1.2,51.2,4.4,29-29,1.000,135-173,.780,29-67,.433,86-123,.699,164-240,.683,0.0,0.0,0-0,.000
31,-,Sr,6-1,Ja'Kobi Gillespie,Tennessee,SEC,37,Pure PG,86.0,5.0,4.8,9.9,6.0,3.9,119.9,94.4,25.7,50.1,53.8,1.9,7.2,30.2,15.3,2.4,0.8,3.6,24.7,2.6,4-5,.800,95-163,.583,34-98,.347,114-140,.814,129-261,.494,53.9,14.1,103-305,.338
32,-,Sr,6-6,Lamar Wilkerson,Indiana,B10,32,Wing G,83.9,5.0,3.8,7.2,6.2,0.9,118.7,101.9,27.2,56.9,60.9,1.6,10.8,15.9,10.4,1.5,0.6,1.7,25.5,2.7,8-8,1.000,82-130,.631,41-85,.482,111-125,.888,123-215,.572,56.1,15.3,104-275,.378
33,-,Sr,6-8,Ven-Allen Lubin,N.C. State,ACC,34,C,69.5,5.0,3.0,6.1,5.7,0.4,138.9,103.1,19.3,67.4,69.6,11.8,17.1,5.9,8.8,1.0,4.0,1.0,54.3,3.4,54-60,.900,166-227,.731,8-27,.296,107-144,.743,174-254,.685,4.2,0.7,3-11,.273
34,-,Fr,6-4,Kingston Flemings,Houston,B12,37,Scoring PG,78.9,5.0,4.9,11.4,6.3,5.2,121.1,89.5,26.5,52.0,56.3,1.8,12.9,32.6,13.1,2.9,1.3,3.0,27.7,2.5,11-13,.846,95-166,.572,86-194,.443,109-129,.845,181-360,.503,22.7,5.6,41-106,.387
35,-,Sr,6-9,Zuby Ejiofor,St. John's,BE,37,PF/C,74.7,5.0,4.5,13.5,8.1,5.4,122.3,90.5,26.4,56.0,60.9,12.1,14.7,23.0,15.1,1.7,7.2,2.2,69.4,3.2,35-36,.972,139-212,.656,43-102,.422,186-259,.718,182-314,.580,15.8,3.0,18-59,.305
36,-,So,6-7,Juke Harris,Wake Forest,ACC,35,Wing G,86.9,5.0,3.7,5.9,5.9,0.1,117.7,103.4,27.3,52.7,58.1,4.3,17.6,11.6,10.0,1.2,0.7,2.1,47.2,2.3,13-16,.813,93-152,.612,54-113,.478,195-249,.783,147-265,.555,49.7,12.3,87-262,.332
37,-,Sr,6-9,Graham Ike,Gonzaga,WCC,31,PF/C,68.9,4.9,4.9,9.4,6.2,3.3,124.4,89.2,26.5,59.1,62.7,7.9,20.2,13.7,12.4,1.3,3.3,1.4,35.2,3.6,25-27,.926,121-172,.703,92-178,.517,118-148,.797,213-350,.609,16.9,4.2,24-71,.338
38,-,Jr,6-4,John Blackwell,Wisconsin,B10,34,Wing G,80.8,4.9,3.7,6.7,5.6,1.1,119.3,102.0,25.6,53.4,59.3,4.1,13.1,13.3,11.3,1.4,0.3,1.9,39.9,2.9,0-0,.000,58-104,.558,44-110,.400,158-184,.859,102-214,.477,53.6,12.5,96-247,.389
39,-,Sr,6-9,Tyler Bilodeau,UCLA,B10,31,Stretch 4,64.3,4.9,3.5,7.9,7.0,0.9,126.5,100.9,23.7,60.9,65.6,4.7,18.0,7.4,11.0,0.8,1.5,1.0,38.0,3.4,6-9,.667,45-67,.672,74-148,.500,117-134,.873,119-215,.553,39.1,9.0,64-138,.464
40,-,Jr,6-8,Dailyn Swain,Texas,SEC,35,Wing F,81.9,4.9,4.0,9.5,6.6,2.9,121.6,99.5,25.5,57.8,63.3,6.2,20.7,21.3,18.4,1.3,1.0,2.8,51.6,2.7,25-26,.962,135-210,.643,39-82,.476,161-198,.813,174-292,.596,24.0,4.7,32-92,.348
41,-,Jr,6-8,Paulius Murauskas,Saint Mary's,WCC,32,Stretch 4,81.4,4.9,4.4,6.7,4.5,2.2,121.6,95.6,26.6,52.1,58.9,7.6,19.5,14.2,13.0,1.1,1.9,1.0,47.7,2.9,17-20,.850,99-157,.631,62-145,.428,164-194,.845,161-302,.533,25.8,6.2,34-105,.324
42,-,Sr,6-9,Mark Mitchell,Missouri,SEC,33,Wing F,83.8,4.9,3.3,7.1,6.5,0.6,121.1,106.4,25.9,57.2,60.6,6.3,11.8,21.2,13.8,1.7,1.7,1.2,71.3,1.6,35-35,1.000,140-211,.664,45-113,.398,178-266,.669,185-324,.571,13.1,2.5,19-49,.388
43,-,Jr,6-0,Barrington Hargress,Colorado,B12,33,Scoring PG,80.3,4.8,2.7,5.1,4.7,0.4,130.3,109.8,19.6,61.0,64.3,1.0,6.8,26.2,11.2,3.6,0.3,1.6,29.3,2.8,1-1,1.000,62-97,.639,62-126,.492,81-97,.835,124-223,.556,32.6,5.8,52-108,.481
44,-,Jr,6-9,Thomas Haugh,Florida,SEC,34,Wing F,80.9,4.8,4.8,9.7,6.0,3.7,126.6,92.4,21.0,53.3,58.6,7.0,12.3,10.5,11.8,1.4,2.9,1.8,49.8,2.8,42-46,.913,113-182,.621,13-40,.325,154-199,.774,126-222,.568,44.5,8.7,58-178,.326
45,-,Fr,6-1,Isaiah Johnson,Colorado,B12,32,Combo G,73.4,4.8,2.6,6.7,6.4,0.3,126.0,109.4,23.7,57.1,63.4,3.2,7.7,18.6,11.3,2.1,0.1,1.9,58.6,2.0,0-0,.000,90-136,.662,16-49,.327,160-195,.821,106-185,.573,44.4,8.6,56-148,.378
46,-,Jr,6-7,Jack Karasinski,Bellarmine,ASun,30,Wing F,74.2,4.8,0.8,3.3,7.9,-4.6,129.5,126.8,29.2,65.5,69.3,5.0,15.7,8.6,9.9,0.8,1.3,1.2,50.8,2.7,5-7,.714,117-163,.718,24-44,.545,155-192,.807,141-207,.681,45.2,11.5,71-171,.415
47,-,So,6-5,Cameron Carr,Baylor,B12,33,Wing G,84.4,4.8,3.6,8.0,6.4,1.6,118.9,103.4,24.3,57.6,61.8,2.3,17.6,13.7,16.8,1.1,3.9,1.6,38.3,2.3,44-51,.863,83-122,.680,48-101,.475,132-164,.805,131-223,.587,47.9,10.6,77-205,.376
48,-,Sr,6-3,Quinn Denker,Northern Colorado,BSky,27,Scoring PG,81.7,4.8,2.7,5.1,4.9,0.1,121.1,112.2,29.0,53.4,58.0,2.4,14.7,37.1,12.7,3.1,1.1,1.1,36.4,3.1,0-0,.000,80-138,.580,65-129,.504,117-145,.807,151-278,.543,30.2,7.1,41-120,.342
49,-,Jr,7-0,Henri Veesaar,North Carolina,ACC,31,Stretch 4,73.5,4.7,4.2,9.6,6.5,3.1,125.6,95.3,22.7,66.7,66.4,8.1,21.9,13.6,13.7,1.2,3.8,1.1,34.2,3.2,58-65,.892,122-162,.753,46-86,.535,72-117,.615,168-248,.677,27.5,5.6,40-94,.426
50,-,Fr,6-5,Darryn Peterson,Kansas,B12,24,Wing G,49.4,4.7,4.3,12.4,8.4,4.0,114.1,91.3,30.9,52.7,57.8,2.9,11.8,12.5,10.4,1.0,2.3,2.9,37.1,2.1,9-12,.750,40-67,.597,53-124,.427,109-132,.826,93-191,.487,46.3,13.9,63-165,.382
51,-,Sr,6-9,Trey Kaufman-Renn,Purdue,B10,37,C,66.5,4.6,3.5,7.1,5.5,1.5,123.7,98.0,24.9,58.0,59.0,13.2,23.7,17.2,12.3,1.8,1.0,0.8,27.2,3.2,16-16,1.000,116-159,.730,109-221,.493,68-107,.636,225-380,.592,3.3,0.8,2-13,.154
52,-,Sr,5-10,Dominique Daniels Jr.,Cal Baptist,WAC,33,Combo G,87.1,4.6,3.8,6.4,5.1,1.3,114.2,104.2,31.1,48.6,54.1,2.4,9.4,21.3,12.9,1.3,0.3,1.6,37.7,2.0,6-6,1.000,131-255,.514,63-150,.420,183-226,.810,194-405,.479,32.5,9.7,65-195,.333
53,-,Sr,6-8,Ethan Potter,Utah Tech,WAC,31,PF/C,78.6,4.6,2.5,4.0,4.9,-0.9,126.4,111.6,23.7,59.9,63.5,9.3,19.6,13.6,10.7,1.5,2.7,1.1,36.9,2.6,27-31,.871,130-191,.681,78-146,.534,105-131,.802,208-337,.617,5.1,1.1,3-18,.167
54,-,Jr,7-0,Nolan Winter,Wisconsin,B10,31,Stretch 4,67.1,4.6,3.6,8.2,6.0,2.2,133.4,99.9,17.8,62.6,64.8,8.5,23.2,9.5,8.6,1.9,4.5,0.9,34.6,2.5,31-36,.861,107-137,.781,15-37,.405,69-93,.742,122-174,.701,35.3,5.8,31-95,.326
55,-,Jr,6-10,Braden Huff,Gonzaga,WCC,18,PF/C,32.5,4.6,3.6,10.1,7.9,2.2,133.3,93.7,25.0,67.8,67.2,12.5,12.2,12.3,8.5,1.6,2.4,1.0,18.3,3.9,6-6,1.000,75-96,.781,63-102,.618,23-40,.575,138-198,.697,9.6,2.6,7-21,.333
56,-,Sr,6-4,Fletcher Loyer,Purdue,B10,39,Combo G,73.1,4.6,3.2,8.1,6.7,1.4,130.7,102.4,19.2,60.2,64.4,0.8,9.0,11.7,10.9,2.1,0.2,1.5,32.2,1.6,0-0,.000,31-51,.608,23-59,.390,104-119,.874,54-110,.491,70.2,13.9,112-259,.432
57,-,Sr,6-2,Duke Miles,Vanderbilt,SEC,28,Pure PG,57.1,4.5,4.0,10.1,5.4,4.6,121.9,94.8,25.7,51.3,59.5,0.9,10.7,27.4,13.7,2.5,0.8,5.0,49.0,3.5,1-1,1.000,54-89,.607,32-81,.395,136-151,.901,86-170,.506,44.8,9.5,48-138,.348
58,-,Sr,6-3,Emanuel Sharp,Houston,B12,37,Combo G,73.3,4.5,4.3,9.4,5.6,3.8,124.6,92.5,23.2,52.7,58.2,3.0,8.6,11.1,8.8,1.8,0.4,2.5,32.4,4.1,3-3,1.000,36-54,.667,43-111,.387,123-138,.891,79-165,.479,61.3,14.8,97-261,.372
59,-,Sr,6-9,Pharrel Payne,Maryland,B10,10,C,20.3,4.4,2.4,8.4,6.8,1.7,119.1,108.5,31.2,62.4,67.0,13.3,18.3,13.7,19.3,0.5,5.1,0.9,112.9,3.3,15-16,.938,52-80,.650,1-5,.200,69-96,.719,53-85,.624,0.0,0.0,0-0,.000
60,-,Jr,6-4,Mason Falslev,Utah St.,MWC,35,Combo G,80.9,4.4,4.1,8.8,5.8,3.0,122.5,97.7,22.9,56.9,60.3,5.5,15.3,17.9,12.3,2.0,1.0,3.6,35.2,2.7,3-3,1.000,127-203,.626,32-79,.405,108-142,.761,159-282,.564,30.0,6.2,47-121,.388
61,-,Fr,6-4,Brayden Burries,Arizona,B12,39,Wing G,74.3,4.4,4.7,10.4,5.5,4.9,125.2,88.9,21.6,57.2,61.6,2.1,14.5,14.2,12.7,1.7,0.7,2.8,39.5,2.8,17-18,.944,91-140,.650,49-109,.450,136-169,.805,140-249,.562,41.8,8.6,70-179,.391
62,-,Sr,6-7,Nick Townsend,Yale,Ivy,28,Wing G,80.8,4.4,3.1,6.0,5.8,0.2,123.0,107.8,25.7,57.5,61.6,8.2,17.8,24.3,16.8,1.8,0.5,1.9,48.4,1.9,2-2,1.000,81-150,.540,32-64,.500,112-148,.757,113-214,.528,30.1,5.9,42-92,.457
63,-,Sr,6-3,Cruz Davis,Hofstra,CAA,33,Scoring PG,95.6,4.4,3.5,4.2,3.5,0.8,115.8,107.9,27.2,50.7,55.6,1.2,8.7,26.4,14.7,1.9,1.0,1.7,31.9,2.6,9-13,.692,91-174,.523,56-153,.366,138-165,.836,147-327,.450,36.9,9.2,77-191,.403
64,-,Sr,5-11,Tavari Johnson,Akron,MAC,33,Scoring PG,80.7,4.4,2.8,5.1,5.2,-0.1,122.6,109.0,27.8,58.1,61.7,2.1,7.7,28.2,16.2,2.0,1.0,2.1,25.6,1.6,2-2,1.000,105-159,.660,65-128,.508,105-121,.868,170-287,.592,39.3,9.9,70-186,.376
65,-,Sr,6-5,Jaylin Sellers,Providence,BE,33,Wing G,73.0,4.4,2.5,5.6,5.9,-0.3,121.0,109.8,25.2,56.7,61.5,3.7,11.1,10.6,12.9,0.9,0.8,1.7,35.4,3.4,15-20,.750,86-153,.562,34-84,.405,128-149,.859,120-237,.506,43.7,10.3,79-184,.429
66,-,Sr,6-9,Joshua Jefferson,Iowa St.,B12,35,Wing F,73.1,4.4,5.1,11.6,6.1,5.5,115.2,87.2,28.6,51.7,56.0,7.2,21.8,27.7,16.7,1.9,3.4,3.1,51.7,3.0,16-17,.941,108-178,.607,48-124,.387,149-213,.700,156-302,.517,26.7,5.9,38-110,.345
67,-,So,6-9,Flory Bidunga,Kansas,B12,35,C,78.3,4.4,5.0,9.3,4.3,5.1,123.4,88.8,19.6,64.0,64.7,11.2,18.4,9.7,14.6,1.0,9.0,1.4,34.7,3.0,82-87,.943,162-216,.750,35-90,.389,70-107,.654,197-306,.644,0.6,0.1,0-2,.000
68,-,Sr,6-2,Kylan Boswell,Illinois,B10,30,Combo G,60.1,4.4,3.6,5.8,3.4,2.4,126.3,99.8,20.6,50.7,55.9,5.5,9.3,17.7,10.9,2.7,0.0,1.5,41.5,2.8,2-2,1.000,70-112,.625,17-49,.347,89-114,.781,87-161,.540,41.5,7.8,35-114,.307
69,-,Sr,6-8,Alex Karaban,Connecticut,BE,40,Wing F,85.1,4.4,4.6,7.8,4.9,2.9,125.6,95.2,17.6,55.9,59.0,6.4,11.8,12.4,10.8,2.2,2.8,1.5,21.5,2.4,11-11,1.000,93-148,.628,18-51,.353,74-87,.851,111-199,.558,50.9,9.1,77-206,.374
70,-,Jr,6-1,Dedan Thomas Jr.,LSU,SEC,16,Pure PG,35.8,4.4,2.2,6.3,5.9,0.4,122.5,113.0,26.9,49.4,56.0,1.3,8.8,43.6,11.9,4.0,0.9,1.9,43.1,2.0,0-0,.000,37-59,.627,33-79,.418,65-78,.833,70-138,.507,23.8,5.3,13-43,.302
71,-,Fr,6-9,David Mirkovic,Illinois,B10,37,Stretch 4,72.7,4.4,4.0,8.4,5.8,2.5,122.7,95.1,23.3,56.2,59.1,10.0,20.2,16.2,16.9,1.4,1.5,0.9,30.5,2.7,0-0,.000,88-132,.667,31-80,.388,84-111,.757,119-212,.561,41.8,8.6,57-152,.375
72,-,So,6-9,Morez Johnson Jr.,Michigan,B10,40,PF/C,62.6,4.3,4.2,10.1,5.7,4.4,131.1,86.4,21.1,64.2,67.7,12.8,18.9,8.4,14.0,0.9,4.8,1.5,49.8,3.7,50-53,.943,164-225,.729,19-53,.358,122-156,.782,183-278,.658,11.2,1.9,12-35,.343
73,-,Sr,6-3,Tre Donaldson,Miami FL,ACC,35,Scoring PG,85.1,4.3,3.9,6.2,4.6,1.6,118.9,101.0,24.4,52.0,55.3,2.2,10.4,29.6,14.6,2.7,0.7,2.3,27.9,2.0,5-6,.833,86-146,.589,62-145,.428,98-128,.766,148-291,.509,36.5,8.0,60-167,.359
74,-,Sr,6-4,MJ Collins,Utah St.,MWC,35,Combo G,77.3,4.3,3.0,5.2,5.3,-0.1,124.0,106.0,22.4,57.0,61.1,2.0,7.1,10.0,8.6,1.6,0.3,1.6,36.1,2.0,33-37,.892,88-127,.693,38-77,.494,124-153,.810,126-204,.618,51.9,11.8,77-220,.350
75,-,Jr,6-5,Ryan Prather Jr.,Robert Morris,Horz,31,Combo G,85.2,4.3,2.6,5.0,4.9,0.0,132.2,112.0,20.6,54.7,57.8,5.0,8.4,20.4,7.1,4.4,0.2,1.5,21.1,1.7,2-2,1.000,56-95,.589,33-78,.423,70-83,.843,89-173,.514,56.0,12.4,84-220,.382
76,-,Sr,6-1,Tamin Lipsey,Iowa St.,B12,34,Scoring PG,72.2,4.3,4.9,9.9,4.7,5.2,120.3,89.9,22.9,51.6,54.0,5.2,9.8,28.0,12.4,3.3,0.1,4.2,33.3,2.4,1-1,1.000,82-132,.621,44-101,.436,80-122,.656,126-233,.541,36.3,7.2,42-133,.316
77,-,Jr,6-4,PJ Haggerty,Kansas St.,B12,31,Combo G,85.2,4.3,3.4,3.2,3.5,-0.4,107.0,106.5,32.0,52.5,55.7,3.9,12.8,22.9,15.9,1.2,0.1,1.8,36.8,3.0,1-1,1.000,147-228,.645,84-212,.396,143-204,.701,231-440,.525,20.6,5.7,40-114,.351
78,-,Sr,5-10,Nijel Pack,Oklahoma,SEC,37,Scoring PG,75.3,4.3,2.7,7.2,7.2,0.0,122.7,108.5,24.0,60.2,62.0,1.8,9.4,20.8,14.6,1.8,1.1,1.4,13.4,2.7,0-1,.000,27-48,.563,72-148,.486,54-63,.857,99-196,.505,58.4,14.2,123-275,.447
79,-,Sr,6-10,Tarris Reed Jr.,Connecticut,BE,35,C,59.4,4.3,4.6,11.6,6.2,5.4,119.6,85.1,26.5,60.7,61.4,14.2,24.5,17.8,15.6,1.2,8.4,2.0,44.5,4.3,38-40,.950,164-238,.689,46-104,.442,95-154,.617,210-342,.614,1.2,0.3,0-4,.000
80,-,So,6-5,Teagan Moore,Western Kentucky,CUSA,25,Wing G,61.1,4.3,2.7,6.7,6.4,0.3,125.7,107.5,26.5,59.3,65.3,7.2,13.5,14.0,12.9,1.2,1.3,1.9,71.3,3.5,0-0,.000,90-142,.634,31-70,.443,155-196,.791,121-212,.571,22.9,4.8,28-63,.444
81,-,Jr,6-1,Dra Gibbs-Lawhorn,UNLV,MWC,34,Combo G,85.2,4.3,2.9,5.2,5.3,-0.1,116.6,109.6,25.6,59.1,62.1,1.6,9.0,15.7,15.4,1.0,1.7,2.3,24.8,3.8,9-10,.900,87-146,.596,66-122,.541,105-126,.833,153-268,.571,47.2,11.5,98-240,.408
