Rk,Pick,YR,HT,PLAYER,TEAM,CONF,G,ROLE,MIN_PCT,PRPG,D_PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A_TO,BLK,STL,FTR,FC40,DUNKS_MADE_ATT,DUNKS_PCT,CLOSE_2_MADE_ATT,CLOSE_2_PCT,FAR_2_MADE_ATT,FAR_2_PCT,FT_MADE_ATT,FT_PCT,2P_MADE_ATT,2P_PCT,3PR,3P_PER_100,3P_MADE_ATT,3P_PCT
472,-,Sr,6-7,Lajae Jones,Florida St.,ACC,33,Wing F,73.7,2.7,3.4,4.4,2.7,1.7,115.0,101.6,19.3,51.2,55.6,5.1,16.3,7.0,10.1,1.1,4.0,2.3,36.8,3.6,23-28,.821,70-119,.588,12-33,.364,90-118,.763,82-152,.539,52.6,9.7,55-169,.325
473,-,Sr,6-5,Jahari Long,George Mason,A10,32,Scoring PG,84.6,2.7,3.1,1.8,1.5,0.4,116.0,107.7,19.3,53.5,57.7,1.5,9.9,23.2,16.5,2.3,0.5,1.1,32.4,2.3,0-0,.000,60-93,.645,20-62,.323,74-92,.804,80-155,.516,45.4,7.3,48-129,.372
474,-,Fr,6-6,Braylon Mullins,Connecticut,BE,33,Wing G,57.8,2.7,4.0,5.4,2.6,2.9,111.2,93.1,20.1,52.4,54.4,3.8,10.8,9.5,13.0,1.2,2.6,2.2,10.4,4.0,4-7,.571,28-50,.560,46-82,.561,32-36,.889,74-132,.561,62.0,14.0,72-215,.335
475,-,So,5-10,Jaylen Washington,UT Rio Grande Valley,Slnd,31,Pure PG,67.2,2.7,2.4,2.2,1.4,0.8,120.4,109.2,20.6,55.1,59.8,3.9,5.9,28.9,16.7,2.9,0.5,2.5,32.9,2.6,0-0,.000,70-106,.660,33-73,.452,63-74,.851,103-179,.575,20.4,3.3,14-46,.304
476,-,So,6-3,Brandin Cummings,Pittsburgh,ACC,19,Scoring PG,37.4,2.7,2.1,1.0,1.3,-0.3,112.9,111.6,23.8,50.5,54.4,1.6,5.7,16.7,11.4,1.8,0.2,1.7,38.6,3.6,1-1,1.000,24-50,.480,24-42,.571,51-71,.718,48-92,.522,50.0,11.4,30-92,.326
477,-,Fr,6-7,Braden Frager,Nebraska,B10,33,Wing G,55.3,2.7,3.3,6.3,4.0,2.3,117.9,93.8,22.0,59.1,62.3,5.0,13.3,8.6,11.9,1.0,0.4,1.8,29.8,2.2,12-14,.857,74-96,.771,3-17,.176,66-82,.805,77-113,.681,58.9,12.5,57-162,.352
478,-,Sr,6-3,Dashon Gittens,Sacred Heart,MAAC,31,Wing G,82.8,2.7,2.0,1.6,1.6,-0.0,118.7,117.5,19.4,57.6,61.4,6.2,13.4,16.7,16.4,1.5,2.7,2.4,45.0,3.0,7-7,1.000,84-135,.622,10-29,.345,94-125,.752,94-164,.573,41.0,6.3,44-114,.386
479,-,Sr,6-3,Davian Brown,Montana St.,BSky,18,Wing G,38.7,2.7,2.2,4.2,4.6,-0.4,120.3,109.0,23.5,56.0,59.5,4.5,11.3,12.8,11.2,1.5,0.2,1.7,26.9,2.6,0-0,.000,20-34,.588,9-27,.333,37-45,.822,29-61,.475,63.5,14.0,43-106,.406
480,-,Jr,6-6,Josh Scovens,Davidson,A10,31,Wing G,60.2,2.7,2.5,4.1,3.1,1.0,116.4,105.5,23.3,57.4,58.5,8.1,12.3,17.7,13.0,1.6,2.1,2.1,36.4,3.2,11-13,.846,79-119,.664,48-104,.462,56-91,.615,127-223,.570,10.8,2.2,11-27,.407
481,-,Sr,6-4,Melvin Council Jr.,Kansas,B12,35,Scoring PG,86.3,2.7,4.7,3.6,1.0,2.6,102.6,95.2,23.2,43.4,46.5,2.6,11.9,28.0,13.7,2.7,1.0,1.7,18.1,1.8,10-11,.909,77-147,.524,59-174,.339,62-80,.775,136-321,.424,27.2,5.8,37-120,.308
482,-,Sr,6-3,Alex Huibregtse,Bradley,MVC,33,Combo G,75.9,2.7,2.5,2.9,3.5,-0.5,120.8,110.5,17.5,60.0,61.5,1.4,10.7,10.9,10.5,1.8,0.7,1.5,12.3,2.0,0-1,.000,25-33,.758,17-62,.274,33-40,.825,42-95,.442,70.8,13.1,102-230,.443
483,-,Sr,6-3,Javon Jackson,Murray St.,MVC,33,Scoring PG,64.1,2.7,2.0,0.4,1.6,-1.3,108.2,112.0,31.2,49.2,54.6,1.7,8.1,23.4,16.6,1.2,0.2,2.5,31.9,4.2,0-1,.000,85-172,.494,45-111,.405,118-138,.855,130-283,.459,34.5,9.8,55-149,.369
484,-,Jr,6-8,Adam Olsen,South Alabama,SB,30,Wing F,86.3,2.7,2.6,1.1,2.7,-1.5,115.1,113.7,21.4,53.4,58.0,0.9,11.2,5.4,7.8,1.0,0.5,1.7,31.6,1.0,1-1,1.000,25-58,.431,28-73,.384,102-121,.843,53-131,.405,65.8,14.1,101-252,.401
485,-,Jr,6-0,Mateo Esmeraldo,Lipscomb,ASun,30,Pure PG,76.6,2.7,2.7,1.6,0.9,0.7,123.4,108.8,19.4,50.2,55.7,2.6,11.8,38.4,15.0,4.4,0.0,2.8,36.6,1.3,0-0,.000,63-116,.543,12-29,.414,68-82,.829,75-145,.517,35.3,4.9,25-79,.316
486,-,Jr,6-2,"Rob Lee, Jr.",Lamar,Slnd,29,Combo G,71.5,2.7,2.1,1.8,3.1,-1.2,112.2,113.0,26.0,51.7,55.2,1.6,11.7,15.4,12.6,1.3,0.3,1.1,24.9,3.3,2-2,1.000,38-82,.463,58-121,.479,75-93,.806,96-203,.473,45.7,12.5,65-171,.380
487,-,Sr,6-8,N.J. Benson,DePaul,BE,32,C,64.9,2.7,3.3,5.0,3.4,1.6,116.1,97.8,21.3,63.6,61.8,12.0,22.8,11.1,14.4,0.9,3.3,1.0,44.4,2.6,79-82,.963,146-211,.692,13-36,.361,56-111,.505,159-247,.644,1.2,0.2,0-3,.000
488,-,Jr,6-7,Mouhamed Dioubate,Kentucky,SEC,31,PF/C,46.3,2.7,3.1,6.3,3.1,3.2,121.3,93.3,19.5,55.9,58.8,11.8,16.7,8.4,11.4,1.2,5.2,2.6,62.6,4.8,11-12,.917,73-107,.682,18-44,.409,73-112,.652,91-151,.603,15.6,2.4,6-28,.214
489,-,Sr,6-10,Reed Bailey,Indiana,B10,32,PF/C,47.2,2.7,2.1,3.3,1.9,1.5,125.3,101.9,21.0,57.4,65.0,7.6,14.1,10.8,13.2,1.3,2.0,0.7,109.6,4.8,29-32,.906,71-110,.645,5-21,.238,112-148,.757,76-131,.580,3.0,0.4,1-4,.250
490,-,Jr,6-5,Jimmie Williams,Duquesne,A10,31,Combo G,74.7,2.7,3.0,3.6,2.6,1.0,111.8,105.7,23.6,53.3,56.4,3.2,14.5,18.0,14.0,1.5,0.4,3.1,28.6,3.2,5-5,1.000,83-137,.606,22-46,.478,77-103,.748,105-183,.574,49.2,10.8,58-177,.328
491,-,So,6-6,Tyrone Riley IV,San Francisco,WCC,30,Wing G,75.3,2.7,2.9,2.6,2.1,0.5,116.6,108.3,17.9,54.1,56.3,4.9,12.7,8.4,9.4,1.4,1.5,1.9,25.6,2.4,16-18,.889,52-88,.591,45-93,.484,53-75,.707,97-181,.536,38.2,6.9,41-112,.366
